0, 0, 0, X, j, 1, 0, 0, 2, 0.0
0, 0, 0, X, j, +, 0, 0, 3, 0.0
0, 0, 0, X, j, -, 0, 0, 3, 0.0
0, 0, 0, X, j, i, 0, 0, 3, 0.0
0, 0, 0, X, j, j, 0, 0, 3, 0.0
0, 0, 0, Y, I, I, 0, 0, 1, 0.0
0, 0, 0, Y, I, X, 0, 0, 2, 0.0
0, 0, 0, Y, I, Y, 0, 0, 2, 0.0
0, 0, 0, Y, I, Z, 0, 0, 1, 0.0
0, 0, 0, Y, I, 0, 0, 0, 1, 0.0
0, 0, 0, Y, I, 1, 0, 0, 1, 0.0
0, 0, 0, Y, I, +, 0, 0, 2, 0.0
0, 0, 0, Y, I, -, 0, 0, 2, 0.0
0, 0, 0, Y, I, i, 0, 0, 2, 0.0
0, 0, 0, Y, I, j, 0, 0, 2, 0.0
0, 0, 0, Y, X, I, 0, 0, 2, 0.0
0, 0, 0, Y, X, X, 0, 0, 3, 0.0
0, 0, 0, Y, X, Y, 0, 0, 3, 0.0
0, 0, 0, Y, X, Z, 0, 0, 2, 0.0
0, 0, 0, Y, X, 0, 0, 0, 2, 0.0
0, 0, 0, Y, X, 1, 0, 0, 2, 0.0
0, 0, 0, Y, X, +, 0, 0, 3, 0.0
0, 0, 0, Y, X, -, 0, 0, 3, 0.0
0, 0, 0, Y, X, i, 0, 0, 3, 0.0
0, 0, 0, Y, X, j, 0, 0, 3, 0.0
0, 0, 0, Y, Y, I, 0, 0, 2, 0.0
0, 0, 0, Y, Y, X, 0, 0, 3, 0.0
0, 0, 0, Y, Y, Y, 0, 0, 3, 0.0
0, 0, 0, Y, Y, Z, 0, 0, 2, 0.0
0, 0, 0, Y, Y, 0, 0, 0, 2, 0.0
0, 0, 0, Y, Y, 1, 0, 0, 2, 0.0
0, 0, 0, Y, Y, +, 0, 0, 3, 0.0
0, 0, 0, Y, Y, -, 0, 0, 3, 0.0
0, 0, 0, Y, Y, i, 0, 0, 3, 0.0
0, 0, 0, Y, Y, j, 0, 0, 3, 0.0
0, 0, 0, Y, Z, I, 0, 0, 1, 0.0
0, 0, 0, Y, Z, X, 0, 0, 2, 0.0
0, 0, 0, Y, Z, Y, 0, 0, 2, 0.0
0, 0, 0, Y, Z, Z, 0, 0, 1, 0.0
0, 0, 0, Y, Z, 0, 0, 0, 1, 0.0
0, 0, 0, Y, Z, 1, 0, 0, 1, 0.0
0, 0, 0, Y, Z, +, 0, 0, 2, 0.0
0, 0, 0, Y, Z, -, 0, 0, 2, 0.0
0, 0, 0, Y, Z, i, 0, 0, 2, 0.0
0, 0, 0, Y, Z, j, 0, 0, 2, 0.0
0, 0, 0, Y, 0, I, 0, 0, 1, 0.0
0, 0, 0, Y, 0, X, 0, 0, 2, 0.0
0, 0, 0, Y, 0, Y, 0, 0, 2, 0.0
0, 0, 0, Y, 0, Z, 0, 0, 1, 0.0
0, 0, 0, Y, 0, 0, 0, 0, 1, 0.0
0, 0, 0, Y, 0, 1, 0, 0, 1, 0.0
0, 0, 0, Y, 0, +, 0, 0, 2, 0.0
0, 0, 0, Y, 0, -, 0, 0, 2, 0.0
0, 0, 0, Y, 0, i, 0, 0, 2, 0.0
0, 0, 0, Y, 0, j, 0, 0, 2, 0.0
0, 0, 0, Y, 1, I, 0, 0, 1, 0.0
0, 0, 0, Y, 1, X, 0, 0, 2, 0.0
0, 0, 0, Y, 1, Y, 0, 0, 2, 0.0
0, 0, 0, Y, 1, Z, 0, 0, 1, 0.0
0, 0, 0, Y, 1, 0, 0, 0, 1, 0.0
0, 0, 0, Y, 1, 1, 0, 0, 1, 0.0
0, 0, 0, Y, 1, +, 0, 0, 2, 0.0
0, 0, 0, Y, 1, -, 0, 0, 2, 0.0
0, 0, 0, Y, 1, i, 0, 0, 2, 0.0
0, 0, 0, Y, 1, j, 0, 0, 2, 0.0
0, 0, 0, Y, +, I, 0, 0, 2, 0.0
0, 0, 0, Y, +, X, 0, 0, 3, 0.0
0, 0, 0, Y, +, Y, 0, 0, 3, 0.0
0, 0, 0, Y, +, Z, 0, 0, 2, 0.0
0, 0, 0, Y, +, 0, 0, 0, 2, 0.0
0, 0, 0, Y, +, 1, 0, 0, 2, 0.0
0, 0, 0, Y, +, +, 0, 0, 3, 0.0
0, 0, 0, Y, +, -, 0, 0, 3, 0.0
0, 0, 0, Y, +, i, 0, 0, 3, 0.0
0, 0, 0, Y, +, j, 0, 0, 3, 0.0
0, 0, 0, Y, -, I, 0, 0, 2, 0.0
0, 0, 0, Y, -, X, 0, 0, 3, 0.0
0, 0, 0, Y, -, Y, 0, 0, 3, 0.0
0, 0, 0, Y, -, Z, 0, 0, 2, 0.0
0, 0, 0, Y, -, 0, 0, 0, 2, 0.0
0, 0, 0, Y, -, 1, 0, 0, 2, 0.0
0, 0, 0, Y, -, +, 0, 0, 3, 0.0
0, 0, 0, Y, -, -, 0, 0, 3, 0.0
0, 0, 0, Y, -, i, 0, 0, 3, 0.0
0, 0, 0, Y, -, j, 0, 0, 3, 0.0
0, 0, 0, Y, i, I, 0, 0, 2, 0.0
0, 0, 0, Y, i, X, 0, 0, 3, 0.0
0, 0, 0, Y, i, Y, 0, 0, 3, 0.0
0, 0, 0, Y, i, Z, 0, 0, 2, 0.0
0, 0, 0, Y, i, 0, 0, 0, 2, 0.0
0, 0, 0, Y, i, 1, 0, 0, 2, 0.0
0, 0, 0, Y, i, +, 0, 0, 3, 0.0
0, 0, 0, Y, i, -, 0, 0, 3, 0.0
0, 0, 0, Y, i, i, 0, 0, 3, 0.0
0, 0, 0, Y, i, j, 0, 0, 3, 0.0
0, 0, 0, Y, j, I, 0, 0, 2, 0.0
0, 0, 0, Y, j, X, 0, 0, 3, 0.0
0, 0, 0, Y, j, Y, 0, 0, 3, 0.0
0, 0, 0, Y, j, Z, 0, 0, 2, 0.0
0, 0, 0, Y, j, 0, 0, 0, 2, 0.0
0, 0, 0, Y, j, 1, 0, 0, 2, 0.0
0, 0, 0, Y, j, +, 0, 0, 3, 0.0
0, 0, 0, Y, j, -, 0, 0, 3, 0.0
0, 0, 0, Y, j, i, 0, 0, 3, 0.0
0, 0, 0, Y, j, j, 0, 0, 3, 0.0
0, 0, 0, Z, I, I, 1, 0, 0, 1.0
0, 0, 0, Z, I, X, 0, 0, 1, 0.0
0, 0, 0, Z, I, Y, 0, 0, 1, 0.0
0, 0, 0, Z, I, Z, 1, 0, 0, 1.0
0, 0, 0, Z, I, 0, 1, 0, 0, 1.0
0, 0, 0, Z, I, 1, 0, 0, 0, 0.0
0, 0, 0, Z, I, +, 1, 0, 1, 0.5
0, 0, 0, Z, I, -, 1, 0, 1, 0.5
0, 0, 0, Z, I, i, 1, 0, 1, 0.5
0, 0, 0, Z, I, j, 1, 0, 1, 0.5
0, 0, 0, Z, X, I, 0, 0, 1, 0.0
0, 0, 0, Z, X, X, 0, 0, 2, 0.0
0, 0, 0, Z, X, Y, 0, 0, 2, 0.0
0, 0, 0, Z, X, Z, 0, 0, 1, 0.0
0, 0, 0, Z, X, 0, 0, 0, 1, 0.0
0, 0, 0, Z, X, 1, 0, 0, 1, 0.0
0, 0, 0, Z, X, +, 0, 0, 2, 0.0
0, 0, 0, Z, X, -, 0, 0, 2, 0.0
0, 0, 0, Z, X, i, 0, 0, 2, 0.0
0, 0, 0, Z, X, j, 0, 0, 2, 0.0
0, 0, 0, Z, Y, I, 0, 0, 1, 0.0
0, 0, 0, Z, Y, X, 0, 0, 2, 0.0
0, 0, 0, Z, Y, Y, 0, 0, 2, 0.0
0, 0, 0, Z, Y, Z, 0, 0, 1, 0.0
0, 0, 0, Z, Y, 0, 0, 0, 1, 0.0
0, 0, 0, Z, Y, 1, 0, 0, 1, 0.0
0, 0, 0, Z, Y, +, 0, 0, 2, 0.0
0, 0, 0, Z, Y, -, 0, 0, 2, 0.0
0, 0, 0, Z, Y, i, 0, 0, 2, 0.0
0, 0, 0, Z, Y, j, 0, 0, 2, 0.0
0, 0, 0, Z, Z, I, 1, 0, 0, 1.0
0, 0, 0, Z, Z, X, 0, 0, 1, 0.0
0, 0, 0, Z, Z, Y, 0, 0, 1, 0.0
0, 0, 0, Z, Z, Z, 1, 0, 0, 1.0
0, 0, 0, Z, Z, 0, 1, 0, 0, 1.0
0, 0, 0, Z, Z, 1, 0, 0, 0, 0.0
0, 0, 0, Z, Z, +, 1, 0, 1, 0.5
0, 0, 0, Z, Z, -, 1, 0, 1, 0.5
0, 0, 0, Z, Z, i, 1, 0, 1, 0.5
0, 0, 0, Z, Z, j, 1, 0, 1, 0.5
